Start Date,End Date,Pollster,Mode,Scope,Sample,LNC,ALP,GRN,PHON,UND,L-NP 2pp,ALP 2pp,L-NP r/a,ALP r/a
"Nov 7, 2019","Dec 8, 2019",Newspoll,Online,Male,736,45,32,9,5,,55,45,,
"Jan 7, 2020","Jan 11, 2020",Essential Research,Online,Male,541,38,37,10,4,4,,,47,49
"Jan 21, 2020","Jan 25, 2020",Essential Research,Online,Male,540,41,37,7,5,4,,,48,47
"Feb 4, 2020","Feb 8, 2020",Essential Research,Online,Male,528,37,36,9,5,6,,,46,48
"Feb 18, 2020","Feb 22, 2020",Essential Research,Online,Male,545,42,37,8,4,3,,,49,48
"Mar 5, 2020","Mar 8, 2020",Essential Research,Online,Male,548,41,35,7,4,4,,,50,46
"Mar 18, 2020","Mar 21, 2020",Essential Research,Online,Male,517,41,34,8,4,6,,,48,46
"Mar 25, 2020","Mar 28, 2020",Essential Research,Online,Male,543,43,34,9,4,6,,,50,45
"Apr 2, 2020","Apr 5, 2020",Essential Research,Online,Male,535,36,36,9,3,7,,,45,48
"Mar 11, 2020","May 16, 2020",Newspoll,Online,Male,"3,016",43,35,10,4,,52,48,,
"Mar 18, 2020","May 23, 2020",Essential Research,Online,Male,534,40,34,9,3,7,,,48,45
"Mar 25, 2020","May 30, 2020",Essential Research,Online,Male,534,42,32,9,4,6,,,49,45
"Apr 25, 2020","May 3, 2020",Essential Research,Online,Male,527,41,37,9,4,3,,,50,47
"Apr 30, 2020","May 3, 2020",Essential Research,Online,Male,547,39,37,8,4,5,,,50,47
"May 7, 2020","May 10, 2020",Essential Research,Online,Male,534,45,31,8,4,4,,,54,41
"May 13, 2020","May 16, 2020",Essential Research,Online,Male,537,46,32,7,4,5,,,53,42
"May 20, 2020","May 23, 2020",Essential Research,Online,Male,544,40,34,12,4,5,,,47,48
"May 28, 2020","May 31, 2020",Essential Research,Online,Male,530,43,30,9,4,6,,,51,43
"Jun 3, 2020","Jun 7, 2020",Essential Research,Online,Male,537,43,34,9,4,4,,,50,45
"Jun 10, 2020","Jun 14, 2020",Essential Research,Online,Male,544,42,35,8,4,4,,,50,46
"Jun 17, 2020","Jun 21, 2020",Essential Research,Online,Male,540,45,32,9,5,5,,,52,43
"Jun 24, 2020","Jun 28, 2020",Essential Research,Online,Male,529,42,35,8,3,5,,,48,45
"Jun 3, 2020","Aug 8, 2020",Newspoll,Online,Male,"3,137",44,33,10,4,,53,47,,
"Jul 8, 2020","Jul 12, 2020",Essential Research,Online,Male,527,41,36,9,3,7,,,47,47
"Jul 23, 2020","Jul 26, 2020",Essential Research,Online,Male,529,43,34,8,4,6,,,50,45
"Aug 6, 2020","Aug 9, 2020",Essential Research,Online,Male,505,41,37,9,3,5,,,48,47
"Aug 20, 2020","Aug 23, 2020",Essential Research,Online,Male,525,42,35,8,3,5,,,50,45
"Sep 3, 2020","Sep 6, 2020",Essential Research,Online,Male,538,44,31,10,2,5,,,52,43
"Sep 17, 2020","Sep 21, 2020",Essential Research,Online,Male,525,45,30,12,3,4,,,54,41
"Oct 1, 2020","Oct 5, 2020",Essential Research,Online,Male,525,40,36,9,3,4,,,48,48
"Oct 8, 2020","Oct 12, 2020",Essential Research,Online,Male,525,42,34,9,3,5,,,50,45
"Aug 26, 2020","Nov 28, 2020",Newspoll,Online,Male,"3,986",44,34,10,4,,53,47,,
"Oct 15, 2020","Oct 19, 2020",Essential Research,Online,Male,541,41,36,8,3,5,,,50,46
"Oct 29, 2020","Nov 2, 2020",Essential Research,Online,Male,532,43,33,8,2,8,,,48,44
"Nov 11, 2020","Nov 16, 2020",Essential Research,Online,Male,505,41,36,8,3,5,,,47,48
"Nov 25, 2020","Nov 30, 2020",Essential Research,Online,Male,517,48,29,9,4,3,,,57,41
"Dec 9, 2020","Dec 14, 2020",Essential Research,Online,Male,536,41,35,8,4,5,,,49,46
"Jan 13, 2021","Jan 18, 2021",Essential Research,Online,Male,542,43,33,8,3,5,,,52,43
"Jan 27, 2021","Feb 1, 2021",Essential Research,Online,Male,546,40,36,9,2,6,,,47,47
"Feb 10, 2021","Feb 15, 2021",Essential Research,Online,Male,555,44,35,7,3,4,,,51,45
"Jan 27, 2021","Mar 27, 2021",Newspoll,Online,Male,"2,991",41,38,10,3,,49,51,,
"Feb 24, 2021","Mar 1, 2021",Essential Research,Online,Male,537,42,34,7,3,5,,,50,45
"Mar 6, 2021","Mar 14, 2021",Roy Morgan,Online/Phone,Male,"1,373",,,,,,,,52.5,47.5
"Mar 10, 2021","Mar 15, 2021",Essential Research,Online,Male,562,42,32,8,3,5,,,51,44
"Mar 24, 2021","Mar 28, 2021",Essential Research,Online,Male,550,45,34,7,3,4,,,53,43
"Apr 7, 2021","Apr 12, 2021",Essential Research,Online,Male,684,43,33,9,4,4,,,52,44
"Apr 12, 2021","Apr 16, 2021",Resolve Strategic,Online/Phone,Male,"1,015",38,34,10,7,,,,,
"Apr 21, 2021","Apr 26, 2021",Essential Research,Online,Male,545,47,31,8,3,3,,,55,42
"May 5, 2021","May 10, 2021",Essential Research,Online,Male,546,44,34,7,4,5,,,51,44
"May 12, 2021","May 16, 2021",Resolve Strategic,Online,Male,811,44,31,11,2,,,,,
"May 19, 2021","May 24, 2021",Essential Research,Online,Male,550,43,33,10,2,5,,,49,46
"Apr 21, 2021","Jun 26, 2021",Newspoll,Online,Male,"3,010",41,37,10,3,,50,50,,
"Jun 2, 2021","Jun 6, 2021",Essential Research,Online,Male,552,43,33,9,4,4,,,49,47
"Jun 8, 2021","Jun 12, 2021",Resolve Strategic,Online,Male,800,41,37,8,3,,,,,
"Jun 16, 2021","Jun 20, 2021",Essential Research,Online,Male,544,43,35,10,3,4,,,50,47
"Jun 30, 2021","Jul 4, 2021",Essential Research,Online,Male,550,40,38,8,3,5,,,46,49
"Jul 13, 2021","Jul 17, 2021",Resolve Strategic,Online,Male,803,38,35,11,4,,,,,
"Jul 14, 2021","Jul 18, 2021",Essential Research,Online,Male,550,41,35,9,3,5,,,49,46
"Jul 28, 2021","Aug 1, 2021",Essential Research,Online,Male,529,43,34,6,4,5,,,50,45
"Aug 11, 2021","Aug 15, 2021",Essential Research,Online,Male,550,45,32,10,3,4,,,53,43
"Jul 14, 2021","Sep 18, 2021",Newspoll,Online,Male,"3,340",39,38,9,3,,48,52,,
"Aug 17, 2021","Aug 21, 2021",Resolve Strategic,Online,Male,804,43,32,10,2,,,,,
"Aug 25, 2021","Aug 29, 2021",Essential Research,Online,Male,550,43,33,8,3,5,,,50,45
"Sep 8, 2021","Sep 12, 2021",Essential Research,Online,Male,550,40,36,8,3,4,,,48,48
"Sep 15, 2021","Sep 19, 2021",Resolve Strategic,Online,Male,803,40,31,8,4,,,,,
"Sep 22, 2021","Sep 26, 2021",Essential Research,Online,Male,547,40,37,9,3,4,,,47,49
"Oct 6, 2021","Oct 10, 2021",Essential Research,Online,Male,549,38,36,8,4,6,,,47,48
"Oct 20, 2021","Oct 24, 2021",Resolve Strategic,Online,Male,891,40,35,7,3,,,,,
"Oct 20, 2021","Oct 24, 2021",Essential Research,Online,Male,891,39,35,10,3,4,,,47,48
"Sep 29, 2021","Dec 4, 2021",Newspoll,Online,Male,"3,340",37,38,10,3,,48,52,,
"Nov 3, 2021","Nov 7, 2021",Essential Research,Online,Male,545,41,33,9,2,7,,,49,44
"Nov 17, 2021","Nov 21, 2021",Resolve Strategic,Online,Male,891,39,33,10,2,,,,,
"Nov 17, 2021","Nov 21, 2021",Essential Research,Online,Male,548,40,37,8,2,5,,,47,47
"Dec 1, 2021","Dec 6, 2021",Essential Research,Voting,Male,547,41,34,9,2,7,,,47,46
"Dec 8, 2021","Dec 13, 2021",Essential Research,Voting,Male,548,41,36,8,2,7,,,47,46
"Jan 11, 2022","Jan 15, 2022",Resolve Strategic,Online,Male,804,36,35,9,3,,,,,
"Jan 20, 2022","Jan 23, 2022",Essential Research,Online,Male,501,42,35,7,3,5,,,48,47
"Feb 2, 2022","Feb 6, 2022",Essential Research,Online,Male,535,40,37,8,3,6,,,48,47
"Jan 25, 2022","Mar 12, 2022",Newspoll,Online,Male,"3,000",35,42,8,3,,45,55,,
"Feb 15, 2022","Feb 20, 2022",Resolve Strategic,Online,Male,802,35,36,10,3,,,,,
"Feb 16, 2022","Feb 21, 2022",Essential Research,Online,Male,545,37,39,8,4,4,,,47,49
"Mar 2, 2022","Mar 6, 2022",Essential Research,Online,Male,547,40,35,10,3,5,,,48,48
"Mar 30, 2022","Feb 5, 2022",Essential Research,Online,Male,543,40,38,8,3,3,,,46,50
"Mar 17, 2022","Mar 20, 2022",Essential Research,Online,Male,546,42,37,8,4,4,,,49,47
"Mar 30, 2022","Apr 3, 2022",Ipsos,Online/Phone,Male,"1,282",35,34,8,5,8,,,42,47
"Mar 30, 2022","Apr 3, 2022",Resolve Strategic,Online,Male,809,30,41,10,3,,,,,
"Apr 11, 2022","Apr 16, 2022",Resolve Strategic,Online,Male,702,38,33,9,3,,,,,
"Apr 19, 2022","Apr 20, 2022",Essential Research,Online,Male,526,42,34,9,3,4,,,51,44
"Apr 20, 2022","Apr 23, 2022",Ipsos,Online/Phone,Male,"1,282",35,35,10,,6,,,40,48
"Apr 26, 2022","Apr 30, 2022",Resolve Strategic,Online,Male,704,36,33,12,4,,,,,
"Apr 27, 2022","Apr 30, 2022",Essential Research,Online,Male,750,39,38,8,3,3,,,47,50
"May 4, 2022","May 7, 2022",Ipsos,Online/Phone,Male,"1,282",31,36,11,,5,43,52,38,50
"May 11, 2022","May 17, 2022",Essential Research,Online,Male,800,39,36,8,4,3,,,49,48
"May 12, 2022","May 17, 2022",Resolve Strategic,Online,Male,"1,025",37,33,9,7,,,,,
"May 15, 2022","May 18, 2022",Ipsos,Online/Phone,Male,998,37,36,9,,3,,,43,49
